Pinot Noir,25,79,6,2025-02-16 16:53:56,2025-02-16 19:58:21,2
Cabernet Sauvigon,23,950.99,7,2025-02-16 16:52:23,2025-02-16 19:34:52,2
Whispering Angel,16,299,5,2025-02-16 14:54:24,2025-02-16 19:15:35,2
Dom Perignon,16,1999,3,2025-02-16 10:57:41,2025-02-16 19:28:03,2
Kernel One,25,1900,2,2025-02-14 9:03:17,2025-02-16 19:33:09,2
Absolut,30,499.99,3,2025-02-17 8:12:34,2025-02-17 12:45:23,2
Smirnoff,20,399.99,5,2025-02-17 9:15:45,2025-02-17 13:30:12,2
Belvedere,18,799.99,5,2025-02-17 10:20:56,2025-02-17 14:25:34,2
Ketel One,22,699.99,6,2025-02-17 11:30:12,2025-02-17 15:40:45,2
Ciroc,15,899.99,4,2025-02-17 12:45:23,2025-02-17 16:50:56,2
Tito's,25,599.99,2,2025-02-17 13:50:34,2025-02-17 17:55:12,2
Stolichnaya,20,499.99,1,2025-02-17 14:55:45,2025-02-17 18:59:23,2
Chardonnay,28,49.99,3,2025-02-17 15:59:12,2025-02-17 20:05:34,2
Merlot,24,59.99,4,2025-02-17 16:05:23,2025-02-17 21:10:45,2
Syrah,19,69.99,2,2025-02-17 17:10:34,2025-02-17 22:15:56,2
Zinfandel,21,79.99,3,2025-02-17 18:15:45,2025-02-17 23:20:12,2
Sauvignon Blanc,23,89.99,4,2025-02-17 19:20:56,2025-02-18 0:25:34,2
Prosecco,17,99.99,2,2025-02-17 20:25:12,2025-02-18 1:30:45,2
Moet & Chandon,16,199.99,4,2025-02-17 21:30:34,2025-02-18 2:35:56,2
Veuve Clicquot,18,299.99,2,2025-02-17 22:35:45,2025-02-18 3:40:12,2
Krug,14,499.99,5,2025-02-17 23:40:56,2025-02-18 4:45:23,2
Laurent-Perrier,20,399.99,3,2025-02-18 0:45:12,2025-02-18 5:50:34,2
Johnnie Walker,25,599.99,2,2025-02-18 1:50:23,2025-02-18 6:55:45,2
Jack Daniel's,22,499.99,4,2025-02-18 2:55:34,2025-02-18 7:59:12,2
Jameson,20,399.99,5,2025-02-18 3:59:45,2025-02-18 9:05:23,2
Glenfiddich,18,699.99,2,2025-02-18 4:05:12,2025-02-18 10:10:34,2
Macallan,16,799.99,3,2025-02-18 5:10:23,2025-02-18 11:15:45,2
Bulleit,19,599.99,4,2025-02-18 6:15:34,2025-02-18 12:20:56,2
Lagavulin,17,899.99,2,2025-02-18 7:20:45,2025-02-18 13:25:12,2
Heineken,30,9.99,2,2025-02-18 8:25:56,2025-02-18 14:30:34,2
Guinness,25,12.99,4,2025-02-18 9:30:12,2025-02-18 15:35:45,2
Corona,28,10.99,5,2025-02-18 10:35:23,2025-02-18 16:40:56,2
Budweiser,22,8.99,6,2025-02-18 11:40:34,2025-02-18 17:45:12,2
Stella Artois,20,11.99,3,2025-02-18 12:45:45,2025-02-18 18:50:23,2
Sierra Nevada,18,14.99,2,2025-02-18 13:50:56,2025-02-18 19:55:34,2
Blue Moon,24,13.99,3,2025-02-18 14:55:12,2025-02-18 20:59:45,2
Bacardi,20,299.99,1,2025-02-18 15:59:23,2025-02-18 22:05:56,2
Captain Morgan,18,249.99,6,2025-02-18 16:05:34,2025-02-18 23:10:12,2
Malibu,22,199.99,5,2025-02-18 17:10:45,2025-02-19 0:15:23,2
Havana Club,19,349.99,7,2025-02-18 18:15:56,2025-02-19 1:20:34,2
Kraken,16,399.99,3,2025-02-18 19:20:12,2025-02-19 2:25:45,2
Mount Gay,20,299.99,2,2025-02-18 20:25:23,2025-02-19 3:30:56,2
Patron,18,499.99,5,2025-02-18 21:30:34,2025-02-19 4:35:12,2
Don Julio,16,599.99,3,2025-02-18 22:35:45,2025-02-19 5:40:23,2
Jose Cuervo,20,399.99,2,2025-02-18 23:40:56,2025-02-19 6:45:34,2
Herradura,19,499.99,1,2025-02-19 0:45:12,2025-02-19 7:50:45,2
1800 Reposado,17,349.99,2,2025-02-19 1:50:23,2025-02-19 8:55:56,2
Sauza,22,299.99,2,2025-02-19 2:55:34,2025-02-19 9:59:12,2
El Jimador,20,249.99,4,2025-02-19 3:59:45,2025-02-19 10:05:23,2